Country,HDI
Afghanistan,0.462
Albania,0.789
Algeria,0.745
Andorra,0.884
Angola,0.591
Antigua and Barbuda,0.826
Argentina,0.849
Armenia,0.786
Australia,0.946
Austria,0.926
Azerbaijan,0.76
Bahamas,0.82
Bahrain,0.888
Bangladesh,0.67
Barbados,0.809
Belarus,0.801
Belgium,0.942
Belize,0.7
Benin,0.504
Bhutan,0.681
Bolivia (Plurinational State of),0.698
Bosnia and Herzegovina,0.779
Botswana,0.708
Brazil,0.76
Brunei,0.823
Bulgaria,0.799
Burkina Faso,0.438
Burundi,0.42
Cabo Verde,0.661
Cambodia,0.6
Cameroon,0.587
Canada,0.935
Central African Republic,0.387
Chad,0.394
Chile,0.86
China,0.788
Colombia,0.758
Comoros,0.586
Congo,0.593
Congo (Democratic Republic of the),0.481
Costa Rica,0.806
Ivory Coast,0.534
Croatia,0.878
Cuba,0.764
Cyprus,0.907
Czech Republic,0.895
Denmark,0.952
Djibouti,0.515
Dominica,0.74
Dominican Republic,0.766
Ecuador,0.765
Egypt,0.728
El Salvador,0.674
Equatorial Guinea,0.65
Eritrea,0.493
Estonia,0.899
Eswatini (Kingdom of),0.61
Ethiopia,0.492
Fiji,0.729
Finland,0.942
France,0.91
Gabon,0.693
Gambia,0.495
Georgia,0.814
Germany,0.95
Ghana,0.602
Greece,0.893
Grenada,0.793
Guatemala,0.629
Guinea,0.471
Guinea-Bissau,0.483
Guyana,0.742
Haiti,0.552
Honduras,0.624
Hong Kong,0.956
Hungary,0.851
Iceland,0.959
India,0.644
Indonesia,0.713
Iran,0.78
Iraq,0.673
Ireland,0.95
Israel,0.915
Italy,0.906
Jamaica,0.706
Japan,0.92
Jordan,0.736
Kazakhstan,0.802
Kenya,0.601
Kiribati,0.628
South Korea,0.929
Kuwait,0.847
Kyrgyzstan,0.701
Laos,0.62
Latvia,0.879
Lebanon,0.723
Lesotho,0.521
Liberia,0.487
Libya,0.746
Liechtenstein,0.942
Lithuania,0.879
Luxembourg,0.927
Madagascar,0.487
Malawi,0.508
Malaysia,0.807
Maldives,0.762
Mali,0.41
Malta,0.915
Marshall Islands,0.731
Mauritania,0.54
Mauritius,0.796
Mexico,0.781
Micronesia (Federated States of),0.634
Moldova (Republic of),0.763
Mongolia,0.741
Montenegro,0.844
Morocco,0.698
Mozambique,0.461
Burma,0.608
Namibia,0.61
Nauru,0.696
Nepal,0.601
Netherlands,0.946
New Zealand,0.939
Nicaragua,0.669
Niger,0.394
Nigeria,0.548
Macedonia,0.765
Norway,0.966
Oman,0.819
Pakistan,0.54
Palau,0.797
"Palestine, State of",0.716
Panama,0.82
Papua New Guinea,0.568
Paraguay,0.731
Peru,0.762
Philippines,0.71
Poland,0.881
Portugal,0.874
Qatar,0.875
Romania,0.827
Russia,0.821
Rwanda,0.548
Saint Kitts and Nevis,0.838
Saint Lucia,0.725
Saint Vincent and the Grenadines,0.772
Samoa,0.702
San Marino,0.867
Sao Tome and Principe,0.613
Saudi Arabia,0.875
Senegal,0.517
Serbia,0.805
Seychelles,0.802
Sierra Leone,0.458
Singapore,0.949
Slovakia,0.855
Slovenia,0.926
Solomon Islands,0.562
Somalia,0.38
South Africa,0.717
South Sudan,0.381
Spain,0.911
Sri Lanka,0.78
Sudan,0.516
Suriname,0.69
Sweden,0.952
Switzerland,0.967
Syria,0.557
Tajikistan,0.679
Tanzania (United Republic of),0.532
Thailand,0.803
Timor-Leste,0.566
Togo,0.547
Tonga,0.739
Trinidad and Tobago,0.814
Tunisia,0.732
Turkey,0.855
Turkmenistan,0.744
Tuvalu,0.653
Uganda,0.55
Ukraine,0.734
UAE,0.937
United Kingdom,0.94
United States,0.927
Uruguay,0.83
Uzbekistan,0.727
Vanuatu,0.614
Venezuela,0.699
Vietnam,0.726
Yemen,0.424
Zambia,0.569
Zimbabwe,0.55
Very high human development,0.902
High human development,0.764
Medium human development,0.64
Low human development,0.517
Arab States,0.704
East Asia and the Pacific,0.766
Europe and Central Asia,0.802
Latin America and the Caribbean,0.763
South Asia,0.641
Sub-Saharan Africa,0.549
World,0.739
